IDucznia;Ocena;Data;IDprzedmiotu
170;4;2008-11-15;2
175;5;2008-11-15;6
179;2;2008-11-15;10
190;3;2008-11-15;10
196;3;2008-11-15;4
211;5;2008-11-15;3
211;2;2008-11-15;2
215;1;2008-11-15;6
225;5;2008-11-15;1
227;2;2008-11-15;10
229;2;2008-11-15;2
236;4;2008-11-15;4
253;5;2008-11-15;8
255;4;2008-11-15;2
261;3;2008-11-15;10
264;5;2008-11-15;10
265;3;2008-11-15;5
281;1;2008-11-15;4
284;3;2008-11-15;5
285;4;2008-11-15;5
286;4;2008-11-15;4
291;3;2008-11-15;6
291;3;2008-11-15;6
292;2;2008-11-15;7
292;5;2008-11-15;6
292;2;2008-11-15;9
297;5;2008-11-15;7
309;3;2008-11-15;6
311;1;2008-11-15;4
312;5;2008-11-15;9
312;3;2008-11-15;8
318;4;2008-11-15;7
322;5;2008-11-15;8
330;2;2008-11-15;1
331;2;2008-11-15;4
343;4;2008-11-15;5
346;2;2008-11-15;2
347;2;2008-11-15;7
351;3;2008-11-15;8
351;3;2008-11-15;7
352;4;2008-11-15;4
357;2;2008-11-15;6
363;4;2008-11-15;2
365;5;2008-11-15;6
367;2;2008-11-15;10
371;3;2008-11-15;10
374;3;2008-11-15;4
380;5;2008-11-15;3
380;2;2008-11-15;2
382;1;2008-11-15;6
387;5;2008-11-15;1
387;2;2008-11-15;10
388;2;2008-11-15;2
391;4;2008-11-15;4
399;5;2008-11-15;8
400;4;2008-11-15;2
402;3;2008-11-15;10
403;5;2008-11-15;10
404;3;2008-11-15;5
410;1;2008-11-15;4
411;3;2008-11-15;5
412;4;2008-11-15;5
412;4;2008-11-15;4
10;1;2008-11-16;7
11;3;2008-11-16;5
11;3;2008-11-16;4
19;3;2008-11-16;1
47;3;2008-11-16;3
59;1;2008-11-16;6
61;2;2008-11-16;5
67;5;2008-11-16;1
107;2;2008-11-16;7
139;4;2008-11-16;6
159;4;2008-11-16;5
159;5;2008-11-16;6
162;5;2008-11-16;9
164;5;2008-11-16;5
165;4;2008-11-16;2
169;2;2008-11-16;9
178;4;2008-11-16;3
182;5;2008-11-16;9
186;2;2008-11-16;9
188;3;2008-11-16;5
197;1;2008-11-16;2
214;3;2008-11-16;7
249;1;2008-11-16;8
257;3;2008-11-16;7
261;2;2008-11-16;6
262;4;2008-11-16;5
275;2;2008-11-16;7
277;2;2008-11-16;2
289;2;2008-11-16;6
294;1;2008-11-16;7
294;3;2008-11-16;5
294;3;2008-11-16;4
298;3;2008-11-16;1
311;3;2008-11-16;3
317;1;2008-11-16;6
317;2;2008-11-16;5
320;5;2008-11-16;1
337;2;2008-11-16;7
349;4;2008-11-16;6
358;4;2008-11-16;5
358;5;2008-11-16;6
359;5;2008-11-16;9
360;5;2008-11-16;5
360;4;2008-11-16;2
362;2;2008-11-16;9
366;4;2008-11-16;3
368;5;2008-11-16;9
369;2;2008-11-16;9
370;3;2008-11-16;5
374;1;2008-11-16;2
382;3;2008-11-16;7
397;1;2008-11-16;8
400;3;2008-11-16;7
402;2;2008-11-16;6
403;4;2008-11-16;5
408;2;2008-11-16;7
408;2;2008-11-16;2
413;2;2008-11-16;6
2;4;2008-11-17;4
5;2;2008-11-17;1
7;4;2008-11-17;2
12;3;2008-11-17;6
14;1;2008-11-17;10
26;4;2008-11-17;7
32;3;2008-11-17;10
59;4;2008-11-17;8
63;5;2008-11-17;10
68;3;2008-11-17;7
82;1;2008-11-17;4
84;1;2008-11-17;6
106;3;2008-11-17;5
120;4;2008-11-17;6
122;1;2008-11-17;4
133;1;2008-11-17;9
135;5;2008-11-17;8
138;2;2008-11-17;10
158;1;2008-11-17;10
173;2;2008-11-17;6
175;4;2008-11-17;6
181;3;2008-11-17;5
205;2;2008-11-17;3
206;2;2008-11-17;9
208;5;2008-11-17;7
222;4;2008-11-17;10
247;3;2008-11-17;6
252;4;2008-11-17;5
263;3;2008-11-17;3
270;3;2008-11-17;8
288;2;2008-11-17;6
291;4;2008-11-17;4
292;2;2008-11-17;1
293;4;2008-11-17;2
295;3;2008-11-17;6
296;1;2008-11-17;10
301;4;2008-11-17;7
303;3;2008-11-17;10
317;4;2008-11-17;8
318;5;2008-11-17;10
320;3;2008-11-17;7
326;1;2008-11-17;4
326;1;2008-11-17;6
336;3;2008-11-17;5
342;4;2008-11-17;6
343;1;2008-11-17;4
347;1;2008-11-17;9
348;5;2008-11-17;8
349;2;2008-11-17;10
357;1;2008-11-17;10
364;2;2008-11-17;6
365;4;2008-11-17;6
368;3;2008-11-17;5
378;2;2008-11-17;3
378;2;2008-11-17;9
379;5;2008-11-17;7
385;4;2008-11-17;10
396;3;2008-11-17;6
398;4;2008-11-17;5
403;3;2008-11-17;3
406;3;2008-11-17;8
413;2;2008-11-17;6
2;2;2008-11-18;3
4;2;2008-11-18;7
4;2;2008-11-18;2
13;2;2008-11-18;3
28;5;2008-11-18;8
28;2;2008-11-18;9
35;2;2008-11-18;7
41;5;2008-11-18;7
63;4;2008-11-18;3
67;5;2008-11-18;7
76;3;2008-11-18;5
95;3;2008-11-18;8
113;5;2008-11-18;3
123;4;2008-11-18;2
129;4;2008-11-18;1
136;2;2008-11-18;4
145;3;2008-11-18;8
155;2;2008-11-18;10
155;3;2008-11-18;6
168;4;2008-11-18;3
171;2;2008-11-18;5
173;4;2008-11-18;2
204;2;2008-11-18;5
213;4;2008-11-18;3
217;2;2008-11-18;5
246;4;2008-11-18;7
259;4;2008-11-18;5
263;3;2008-11-18;2
266;2;2008-11-18;6
287;3;2008-11-18;8
291;2;2008-11-18;3
291;2;2008-11-18;7
291;2;2008-11-18;2
295;2;2008-11-18;3
302;5;2008-11-18;8
302;2;2008-11-18;9
305;2;2008-11-18;7
308;5;2008-11-18;7
318;4;2008-11-18;3
320;5;2008-11-18;7
323;3;2008-11-18;5
332;3;2008-11-18;8
339;5;2008-11-18;3
343;4;2008-11-18;2
345;4;2008-11-18;1
348;2;2008-11-18;4
352;3;2008-11-18;8
356;2;2008-11-18;10
356;3;2008-11-18;6
362;4;2008-11-18;3
363;2;2008-11-18;5
364;4;2008-11-18;2
377;2;2008-11-18;5
381;4;2008-11-18;3
383;2;2008-11-18;5
395;4;2008-11-18;7
401;4;2008-11-18;5
403;3;2008-11-18;2
404;2;2008-11-18;6
413;3;2008-11-18;8
13;3;2008-11-19;6
14;2;2008-11-19;5
16;4;2008-11-19;6
20;3;2008-11-19;1
30;5;2008-11-19;3
78;4;2008-11-19;7
81;3;2008-11-19;6
103;4;2008-11-19;1
123;4;2008-11-19;7
124;4;2008-11-19;2
125;1;2008-11-19;2
131;5;2008-11-19;5
131;3;2008-11-19;5
132;2;2008-11-19;2
138;1;2008-11-19;5
139;4;2008-11-19;8
166;3;2008-11-19;1
177;4;2008-11-19;2
179;3;2008-11-19;8
212;3;2008-11-19;3
219;2;2008-11-19;2
219;2;2008-11-19;3
220;1;2008-11-19;4
230;4;2008-11-19;3
246;2;2008-11-19;7
277;4;2008-11-19;9
280;4;2008-11-19;8
295;3;2008-11-19;6
296;2;2008-11-19;5
297;4;2008-11-19;6
299;3;2008-11-19;1
303;5;2008-11-19;3
324;4;2008-11-19;7
325;3;2008-11-19;6
335;4;2008-11-19;1
343;4;2008-11-19;7
344;4;2008-11-19;2
344;1;2008-11-19;2
346;5;2008-11-19;5
346;3;2008-11-19;5
347;2;2008-11-19;2
349;1;2008-11-19;5
349;4;2008-11-19;8
361;3;2008-11-19;1
366;4;2008-11-19;2
367;3;2008-11-19;8
381;3;2008-11-19;3
384;2;2008-11-19;2
384;2;2008-11-19;3
385;1;2008-11-19;4
389;4;2008-11-19;3
396;2;2008-11-19;7
408;4;2008-11-19;9
410;4;2008-11-19;8
2;4;2008-11-20;6
24;1;2008-11-20;4
25;3;2008-11-20;2
78;4;2008-11-20;7
86;4;2008-11-20;9
91;1;2008-11-20;9
92;1;2008-11-20;4
108;4;2008-11-20;3
110;1;2008-11-20;4
115;1;2008-11-20;8
123;5;2008-11-20;6
125;3;2008-11-20;4
128;1;2008-11-20;3
143;2;2008-11-20;3
149;2;2008-11-20;7
160;2;2008-11-20;10
162;4;2008-11-20;8
165;2;2008-11-20;7
168;4;2008-11-20;4
170;4;2008-11-20;9
182;1;2008-11-20;4
198;2;2008-11-20;8
198;2;2008-11-20;8
203;4;2008-11-20;5
212;2;2008-11-20;4
233;5;2008-11-20;2
249;3;2008-11-20;9
267;4;2008-11-20;5
290;1;2008-11-20;9
291;4;2008-11-20;6
300;1;2008-11-20;4
301;3;2008-11-20;2
324;4;2008-11-20;7
327;4;2008-11-20;9
330;1;2008-11-20;9
330;1;2008-11-20;4
337;4;2008-11-20;3
338;1;2008-11-20;4
340;1;2008-11-20;8
343;5;2008-11-20;6
344;3;2008-11-20;4
345;1;2008-11-20;3
351;2;2008-11-20;3
354;2;2008-11-20;7
358;2;2008-11-20;10
359;4;2008-11-20;8
360;2;2008-11-20;7
362;4;2008-11-20;4
363;4;2008-11-20;9
368;1;2008-11-20;4
375;2;2008-11-20;8
375;2;2008-11-20;8
377;4;2008-11-20;5
381;2;2008-11-20;4
390;5;2008-11-20;2
397;3;2008-11-20;9
404;4;2008-11-20;5
414;1;2008-11-20;9
20;2;2008-11-21;6
21;4;2008-11-21;7
50;3;2008-11-21;10
53;4;2008-11-21;4
58;2;2008-11-21;10
68;4;2008-11-21;7
113;2;2008-11-21;6
123;5;2008-11-21;9
134;4;2008-11-21;5
135;3;2008-11-21;5
140;2;2008-11-21;5
142;2;2008-11-21;2
144;4;2008-11-21;5
146;3;2008-11-21;8
204;2;2008-11-21;8
214;2;2008-11-21;5
216;4;2008-11-21;4
218;3;2008-11-21;3
223;4;2008-11-21;4
237;2;2008-11-21;5
237;3;2008-11-21;5
246;3;2008-11-21;4
252;3;2008-11-21;9
260;4;2008-11-21;1
275;3;2008-11-21;3
290;3;2008-11-21;9
290;2;2008-11-21;9
299;2;2008-11-21;6
299;4;2008-11-21;7
312;3;2008-11-21;10
314;4;2008-11-21;4
316;2;2008-11-21;10
320;4;2008-11-21;7
339;2;2008-11-21;6
343;5;2008-11-21;9
347;4;2008-11-21;5
348;3;2008-11-21;5
350;2;2008-11-21;5
350;2;2008-11-21;2
351;4;2008-11-21;5
352;3;2008-11-21;8
377;2;2008-11-21;8
382;2;2008-11-21;5
383;4;2008-11-21;4
384;3;2008-11-21;3
386;4;2008-11-21;4
392;2;2008-11-21;5
392;3;2008-11-21;5
396;3;2008-11-21;4
398;3;2008-11-21;9
401;4;2008-11-21;1
408;3;2008-11-21;3
414;3;2008-11-21;9
414;2;2008-11-21;9
2;3;2008-11-22;6
12;3;2008-11-22;8
21;2;2008-11-22;1
40;4;2008-11-22;3
41;4;2008-11-22;9
42;4;2008-11-22;8
45;2;2008-11-22;5
49;4;2008-11-22;5
83;2;2008-11-22;4
87;1;2008-11-22;9
98;2;2008-11-22;6
100;3;2008-11-22;8
105;4;2008-11-22;8
116;3;2008-11-22;2
125;2;2008-11-22;3
126;1;2008-11-22;10
150;2;2008-11-22;4
168;3;2008-11-22;8
170;2;2008-11-22;5
172;1;2008-11-22;4
174;1;2008-11-22;10
194;4;2008-11-22;2
215;3;2008-11-22;6
216;1;2008-11-22;7
229;4;2008-11-22;5
232;4;2008-11-22;1
238;1;2008-11-22;3
254;3;2008-11-22;8
257;3;2008-11-22;5
259;3;2008-11-22;4
261;4;2008-11-22;5
278;5;2008-11-22;4
281;1;2008-11-22;7
291;3;2008-11-22;6
295;3;2008-11-22;8
299;2;2008-11-22;1
307;4;2008-11-22;3
308;4;2008-11-22;9
309;4;2008-11-22;8
310;2;2008-11-22;5
312;4;2008-11-22;5
326;2;2008-11-22;4
328;1;2008-11-22;9
333;2;2008-11-22;6
334;3;2008-11-22;8
336;4;2008-11-22;8
340;3;2008-11-22;2
344;2;2008-11-22;3
344;1;2008-11-22;10
354;2;2008-11-22;4
362;3;2008-11-22;8
363;2;2008-11-22;5
363;1;2008-11-22;4
364;1;2008-11-22;10
373;4;2008-11-22;2
382;3;2008-11-22;6
383;1;2008-11-22;7
388;4;2008-11-22;5
389;4;2008-11-22;1
392;1;2008-11-22;3
399;3;2008-11-22;8
400;3;2008-11-22;5
401;3;2008-11-22;4
402;4;2008-11-22;5
409;5;2008-11-22;4
410;1;2008-11-22;7
6;5;2008-11-23;3
10;1;2008-11-23;8
45;4;2008-11-23;7
57;2;2008-11-23;9
67;2;2008-11-23;10
86;5;2008-11-23;9
121;5;2008-11-23;5
139;2;2008-11-23;9
149;4;2008-11-23;7
172;3;2008-11-23;2
186;5;2008-11-23;8
192;2;2008-11-23;3
201;3;2008-11-23;9
202;3;2008-11-23;7
203;1;2008-11-23;7
219;4;2008-11-23;4
220;4;2008-11-23;2
225;1;2008-11-23;8
232;3;2008-11-23;1
235;3;2008-11-23;2
238;4;2008-11-23;2
247;2;2008-11-23;9
248;1;2008-11-23;9
254;4;2008-11-23;10
260;3;2008-11-23;1
264;4;2008-11-23;2
269;2;2008-11-23;8
275;4;2008-11-23;1
278;3;2008-11-23;2
281;2;2008-11-23;1
292;5;2008-11-23;3
294;1;2008-11-23;8
310;4;2008-11-23;7
316;2;2008-11-23;9
320;2;2008-11-23;10
327;5;2008-11-23;9
342;5;2008-11-23;5
349;2;2008-11-23;9
354;4;2008-11-23;7
363;3;2008-11-23;2
370;5;2008-11-23;8
372;2;2008-11-23;3
376;3;2008-11-23;9
377;3;2008-11-23;7
377;1;2008-11-23;7
384;4;2008-11-23;4
385;4;2008-11-23;2
387;1;2008-11-23;8
389;3;2008-11-23;1
391;3;2008-11-23;2
392;4;2008-11-23;2
396;2;2008-11-23;9
396;1;2008-11-23;9
399;4;2008-11-23;10
401;3;2008-11-23;1
403;4;2008-11-23;2
405;2;2008-11-23;8
408;4;2008-11-23;1
409;3;2008-11-23;2
410;2;2008-11-23;1
26;4;2008-11-24;2
32;2;2008-11-24;6
33;4;2008-11-24;3
40;4;2008-11-24;6
44;3;2008-11-24;4
50;3;2008-11-24;9
54;4;2008-11-24;5
65;3;2008-11-24;3
68;3;2008-11-24;6
75;4;2008-11-24;4
78;2;2008-11-24;5
89;1;2008-11-24;9
101;4;2008-11-24;6
129;2;2008-11-24;4
139;2;2008-11-24;7
141;2;2008-11-24;4
149;3;2008-11-24;4
163;4;2008-11-24;6
174;5;2008-11-24;5
199;2;2008-11-24;5
205;3;2008-11-24;4
205;4;2008-11-24;2
214;3;2008-11-24;6
222;3;2008-11-24;7
235;1;2008-11-24;8
241;5;2008-11-24;8
250;5;2008-11-24;4
259;4;2008-11-24;9
266;1;2008-11-24;10
301;4;2008-11-24;2
303;2;2008-11-24;6
304;4;2008-11-24;3
307;4;2008-11-24;6
310;3;2008-11-24;4
313;3;2008-11-24;9
314;4;2008-11-24;5
319;3;2008-11-24;3
320;3;2008-11-24;6
323;4;2008-11-24;4
324;2;2008-11-24;5
329;1;2008-11-24;9
334;4;2008-11-24;6
345;2;2008-11-24;4
349;2;2008-11-24;7
350;2;2008-11-24;4
354;3;2008-11-24;4
359;4;2008-11-24;6
364;5;2008-11-24;5
375;2;2008-11-24;5
378;3;2008-11-24;4
378;4;2008-11-24;2
382;3;2008-11-24;6
385;3;2008-11-24;7
391;1;2008-11-24;8
393;5;2008-11-24;8
397;5;2008-11-24;4
401;4;2008-11-24;9
404;1;2008-11-24;10
9;1;2008-11-25;9
20;1;2008-11-25;2
22;5;2008-11-25;9
23;2;2008-11-25;5
27;1;2008-11-25;2
29;3;2008-11-25;4
33;4;2008-11-25;7
35;4;2008-11-25;5
38;3;2008-11-25;8
39;4;2008-11-25;5
49;3;2008-11-25;3
63;1;2008-11-25;6
71;4;2008-11-25;5
101;3;2008-11-25;6
136;2;2008-11-25;1
144;2;2008-11-25;8
150;5;2008-11-25;8
154;3;2008-11-25;3
164;2;2008-11-25;2
170;2;2008-11-25;10
173;3;2008-11-25;4
178;4;2008-11-25;1
188;2;2008-11-25;2
189;3;2008-11-25;7
217;4;2008-11-25;10
225;4;2008-11-25;3
228;2;2008-11-25;2
236;4;2008-11-25;7
248;4;2008-11-25;7
252;2;2008-11-25;10
258;2;2008-11-25;6
264;2;2008-11-25;4
269;2;2008-11-25;6
274;2;2008-11-25;8
275;3;2008-11-25;9
276;4;2008-11-25;6
278;4;2008-11-25;4
279;4;2008-11-25;8
287;1;2008-11-25;8
293;1;2008-11-25;9
299;1;2008-11-25;2
299;5;2008-11-25;9
300;2;2008-11-25;5
302;1;2008-11-25;2
302;3;2008-11-25;4
304;4;2008-11-25;7
305;4;2008-11-25;5
306;3;2008-11-25;8
307;4;2008-11-25;5
312;3;2008-11-25;3
318;1;2008-11-25;6
321;4;2008-11-25;5
334;3;2008-11-25;6
348;2;2008-11-25;1
351;2;2008-11-25;8
354;5;2008-11-25;8
355;3;2008-11-25;3
360;2;2008-11-25;2
363;2;2008-11-25;10
364;3;2008-11-25;4
366;4;2008-11-25;1
370;2;2008-11-25;2
371;3;2008-11-25;7
383;4;2008-11-25;10
387;4;2008-11-25;3
388;2;2008-11-25;2
391;4;2008-11-25;7
396;4;2008-11-25;7
398;2;2008-11-25;10
401;2;2008-11-25;6
403;2;2008-11-25;4
405;2;2008-11-25;6
407;2;2008-11-25;8
408;3;2008-11-25;9
408;4;2008-11-25;6
409;4;2008-11-25;4
409;4;2008-11-25;8
413;1;2008-11-25;8
11;4;2008-11-26;4
24;5;2008-11-26;8
36;2;2008-11-26;10
40;2;2008-11-26;6
41;2;2008-11-26;7
45;4;2008-11-26;9
52;1;2008-11-26;6
52;4;2008-11-26;8
85;2;2008-11-26;2
93;1;2008-11-26;7
102;3;2008-11-26;6
109;5;2008-11-26;2
119;1;2008-11-26;4
124;3;2008-11-26;3
129;3;2008-11-26;7
141;5;2008-11-26;5
149;2;2008-11-26;5
151;5;2008-11-26;9
156;5;2008-11-26;2
185;2;2008-11-26;6
199;4;2008-11-26;9
205;2;2008-11-26;9
214;4;2008-11-26;9
228;5;2008-11-26;6
235;2;2008-11-26;5
240;4;2008-11-26;2
240;5;2008-11-26;2
245;4;2008-11-26;8
248;3;2008-11-26;3
250;4;2008-11-26;10
257;2;2008-11-26;9
268;4;2008-11-26;6
279;3;2008-11-26;4
280;5;2008-11-26;10
294;4;2008-11-26;4
300;5;2008-11-26;8
305;2;2008-11-26;10
307;2;2008-11-26;6
308;2;2008-11-26;7
310;4;2008-11-26;9
314;1;2008-11-26;6
314;4;2008-11-26;8
327;2;2008-11-26;2
331;1;2008-11-26;7
335;3;2008-11-26;6
337;5;2008-11-26;2
342;1;2008-11-26;4
344;3;2008-11-26;3
345;3;2008-11-26;7
350;5;2008-11-26;5
354;2;2008-11-26;5
354;5;2008-11-26;9
356;5;2008-11-26;2
369;2;2008-11-26;6
375;4;2008-11-26;9
378;2;2008-11-26;9
382;4;2008-11-26;9
388;5;2008-11-26;6
391;2;2008-11-26;5
393;4;2008-11-26;2
393;5;2008-11-26;2
395;4;2008-11-26;8
396;3;2008-11-26;3
397;4;2008-11-26;10
400;2;2008-11-26;9
405;4;2008-11-26;6
409;3;2008-11-26;4
410;5;2008-11-26;10
9;4;2008-11-27;5
17;5;2008-11-27;4
19;3;2008-11-27;8
26;3;2008-11-27;2
32;3;2008-11-27;9
33;1;2008-11-27;10
37;2;2008-11-27;7
56;5;2008-11-27;3
60;2;2008-11-27;7
76;2;2008-11-27;2
98;2;2008-11-27;1
109;4;2008-11-27;1
114;3;2008-11-27;8
115;5;2008-11-27;8
132;1;2008-11-27;1
133;5;2008-11-27;2
139;4;2008-11-27;9
139;5;2008-11-27;9
150;1;2008-11-27;3
169;4;2008-11-27;4
177;2;2008-11-27;6
180;3;2008-11-27;8
180;5;2008-11-27;9
191;5;2008-11-27;10
195;2;2008-11-27;2
197;5;2008-11-27;3
213;4;2008-11-27;7
216;4;2008-11-27;7
217;2;2008-11-27;4
222;1;2008-11-27;6
235;5;2008-11-27;1
239;2;2008-11-27;7
261;4;2008-11-27;3
270;3;2008-11-27;7
281;3;2008-11-27;10
281;2;2008-11-27;5
293;4;2008-11-27;5
297;5;2008-11-27;4
298;3;2008-11-27;8
301;3;2008-11-27;2
304;3;2008-11-27;9
304;1;2008-11-27;10
306;2;2008-11-27;7
315;5;2008-11-27;3
317;2;2008-11-27;7
323;2;2008-11-27;2
333;2;2008-11-27;1
338;4;2008-11-27;1
339;3;2008-11-27;8
340;5;2008-11-27;8
347;1;2008-11-27;1
347;5;2008-11-27;2
349;4;2008-11-27;9
349;5;2008-11-27;9
354;1;2008-11-27;3
362;4;2008-11-27;4
366;2;2008-11-27;6
367;3;2008-11-27;8
367;5;2008-11-27;9
372;5;2008-11-27;10
373;2;2008-11-27;2
374;5;2008-11-27;3
381;4;2008-11-27;7
383;4;2008-11-27;7
383;2;2008-11-27;4
385;1;2008-11-27;6
391;5;2008-11-27;1
393;2;2008-11-27;7
402;4;2008-11-27;3
406;3;2008-11-27;7
410;3;2008-11-27;10
410;2;2008-11-27;5
16;3;2008-11-28;1
19;1;2008-11-28;9
28;3;2008-11-28;8
42;3;2008-11-28;4
45;3;2008-11-28;2
47;3;2008-11-28;8
52;3;2008-11-28;8
52;1;2008-11-28;9
57;2;2008-11-28;2
59;4;2008-11-28;2
64;2;2008-11-28;3
74;3;2008-11-28;5
75;5;2008-11-28;7
91;4;2008-11-28;6
102;2;2008-11-28;4
110;5;2008-11-28;2
112;4;2008-11-28;8
112;4;2008-11-28;10
115;3;2008-11-28;3
136;3;2008-11-28;8
146;4;2008-11-28;7
148;4;2008-11-28;9
150;4;2008-11-28;5
171;1;2008-11-28;3
189;2;2008-11-28;7
196;4;2008-11-28;8
202;2;2008-11-28;4
203;5;2008-11-28;5
218;2;2008-11-28;6
221;2;2008-11-28;8
222;2;2008-11-28;3
230;2;2008-11-28;6
235;2;2008-11-28;8
236;2;2008-11-28;9
261;3;2008-11-28;5
264;1;2008-11-28;1
265;5;2008-11-28;5
276;2;2008-11-28;9
287;4;2008-11-28;4
290;1;2008-11-28;7
297;3;2008-11-28;1
298;1;2008-11-28;9
302;3;2008-11-28;8
309;3;2008-11-28;4
310;3;2008-11-28;2
311;3;2008-11-28;8
314;3;2008-11-28;8
314;1;2008-11-28;9
316;2;2008-11-28;2
317;4;2008-11-28;2
318;2;2008-11-28;3
323;3;2008-11-28;5
323;5;2008-11-28;7
330;4;2008-11-28;6
335;2;2008-11-28;4
338;5;2008-11-28;2
338;4;2008-11-28;8
338;4;2008-11-28;10
340;3;2008-11-28;3
348;3;2008-11-28;8
352;4;2008-11-28;7
353;4;2008-11-28;9
354;4;2008-11-28;5
363;1;2008-11-28;3
371;2;2008-11-28;7
374;4;2008-11-28;8
377;2;2008-11-28;4
377;5;2008-11-28;5
384;2;2008-11-28;6
385;2;2008-11-28;8
385;2;2008-11-28;3
389;2;2008-11-28;6
391;2;2008-11-28;8
391;2;2008-11-28;9
402;3;2008-11-28;5
403;1;2008-11-28;1
404;5;2008-11-28;5
408;2;2008-11-28;9
413;4;2008-11-28;4
414;1;2008-11-28;7
17;4;2008-11-29;7
47;5;2008-11-29;2
56;3;2008-11-29;4
59;2;2008-11-29;10
61;3;2008-11-29;9
72;4;2008-11-29;3
78;2;2008-11-29;7
81;2;2008-11-29;3
91;2;2008-11-29;3
97;2;2008-11-29;2
101;3;2008-11-29;6
109;1;2008-11-29;5
110;4;2008-11-29;9
116;3;2008-11-29;7
128;2;2008-11-29;6
138;3;2008-11-29;9
152;4;2008-11-29;8
164;2;2008-11-29;6
178;2;2008-11-29;4
183;1;2008-11-29;3
183;1;2008-11-29;5
190;2;2008-11-29;2
194;4;2008-11-29;8
204;3;2008-11-29;6
206;3;2008-11-29;3
224;4;2008-11-29;5
224;3;2008-11-29;8
232;3;2008-11-29;10
241;5;2008-11-29;8
244;1;2008-11-29;8
264;2;2008-11-29;5
297;4;2008-11-29;7
311;5;2008-11-29;2
315;3;2008-11-29;4
317;2;2008-11-29;10
317;3;2008-11-29;9
322;4;2008-11-29;3
324;2;2008-11-29;7
325;2;2008-11-29;3
330;2;2008-11-29;3
332;2;2008-11-29;2
334;3;2008-11-29;6
338;1;2008-11-29;5
338;4;2008-11-29;9
340;3;2008-11-29;7
345;2;2008-11-29;6
349;3;2008-11-29;9
355;4;2008-11-29;8
360;2;2008-11-29;6
366;2;2008-11-29;4
368;1;2008-11-29;3
368;1;2008-11-29;5
371;2;2008-11-29;2
373;4;2008-11-29;8
377;3;2008-11-29;6
378;3;2008-11-29;3
386;4;2008-11-29;5
386;3;2008-11-29;8
389;3;2008-11-29;10
394;5;2008-11-29;8
395;1;2008-11-29;8
403;2;2008-11-29;5
12;4;2008-11-30;8
19;2;2008-11-30;1
19;3;2008-11-30;8
21;2;2008-11-30;3
31;3;2008-11-30;2
40;3;2008-11-30;4
65;2;2008-11-30;8
86;2;2008-11-30;9
91;1;2008-11-30;5
97;4;2008-11-30;8
148;3;2008-11-30;4
170;4;2008-11-30;5
193;3;2008-11-30;7
205;3;2008-11-30;8
206;4;2008-11-30;6
234;2;2008-11-30;1
240;3;2008-11-30;7
244;3;2008-11-30;3
262;1;2008-11-30;7
268;2;2008-11-30;9
295;4;2008-11-30;8
298;2;2008-11-30;1
298;3;2008-11-30;8
299;2;2008-11-30;3
303;3;2008-11-30;2
307;3;2008-11-30;4
319;2;2008-11-30;8
327;2;2008-11-30;9
330;1;2008-11-30;5
332;4;2008-11-30;8
353;3;2008-11-30;4
363;4;2008-11-30;5
373;3;2008-11-30;7
378;3;2008-11-30;8
378;4;2008-11-30;6
390;2;2008-11-30;1
393;3;2008-11-30;7
395;3;2008-11-30;3
403;1;2008-11-30;7
405;2;2008-11-30;9
17;2;2008-12-01;5
20;3;2008-12-01;2
29;2;2008-12-01;3
39;3;2008-12-01;4
44;4;2008-12-01;2
50;5;2008-12-01;2
51;1;2008-12-01;1
52;2;2008-12-01;7
57;1;2008-12-01;8
61;3;2008-12-01;9
63;3;2008-12-01;9
64;1;2008-12-01;6
72;3;2008-12-01;8
73;2;2008-12-01;9
113;3;2008-12-01;2
124;2;2008-12-01;2
124;3;2008-12-01;2
131;2;2008-12-01;5
162;4;2008-12-01;3
170;3;2008-12-01;8
184;4;2008-12-01;3
188;3;2008-12-01;6
192;5;2008-12-01;2
199;3;2008-12-01;1
229;2;2008-12-01;8
242;1;2008-12-01;8
243;2;2008-12-01;10
258;3;2008-12-01;4
264;2;2008-12-01;3
270;2;2008-12-01;8
272;2;2008-12-01;4
288;4;2008-12-01;3
297;2;2008-12-01;5
299;3;2008-12-01;2
302;2;2008-12-01;3
307;3;2008-12-01;4
310;4;2008-12-01;2
313;5;2008-12-01;2
313;1;2008-12-01;1
314;2;2008-12-01;7
316;1;2008-12-01;8
317;3;2008-12-01;9
318;3;2008-12-01;9
318;1;2008-12-01;6
322;3;2008-12-01;8
322;2;2008-12-01;9
339;3;2008-12-01;2
344;2;2008-12-01;2
344;3;2008-12-01;2
346;2;2008-12-01;5
359;4;2008-12-01;3
363;3;2008-12-01;8
369;4;2008-12-01;3
370;3;2008-12-01;6
372;5;2008-12-01;2
375;3;2008-12-01;1
388;2;2008-12-01;8
394;1;2008-12-01;8
394;2;2008-12-01;10
401;3;2008-12-01;4
403;2;2008-12-01;3
406;2;2008-12-01;8
406;2;2008-12-01;4
413;4;2008-12-01;3
5;4;2008-12-02;4
9;4;2008-12-02;4
14;1;2008-12-02;10
19;1;2008-12-02;6
43;3;2008-12-02;9
48;5;2008-12-02;10
51;4;2008-12-02;4
52;2;2008-12-02;8
57;4;2008-12-02;7
62;3;2008-12-02;9
63;3;2008-12-02;2
65;2;2008-12-02;4
80;4;2008-12-02;8
92;2;2008-12-02;9
123;4;2008-12-02;7
146;2;2008-12-02;4
161;3;2008-12-02;2
163;3;2008-12-02;10
